Title,AirDate,Rating,Num_Votes,Season,Episode,Description
The One Where Chandler Can't Remember Which Sister,9 Jan. 1997,8.4,4857,3,11,A drunken Chandler fools around with one of Joey's sisters - but he can't remember which one. Ross becomes skeptical when a guy at the diner gets Rachel an interview for a position at Bloomingdales.
The One with All the Jealousy,16 Jan. 1997,8.1,4604,3,12,"Ross becomes insanely jealous of Mark. Monica hooks up with a co-worker, who writes her a poem with a hidden meaning. One of Joey's numerous lies on his resume is exposed when he takes part in a Broadway production."
The One Where Monica and Richard Are Just Friends,30 Jan. 1997,8.1,4620,3,13,"Monica's willpower is tested when she bumps into Richard. Joey and Rachel exchange their favorite books. Phoebe dates an athletic guy who doesn't realize he has a ""wardrobe malfunction""."
The One with Phoebe's Ex-Partner,6 Feb. 1997,7.7,4629,3,14,"Phoebe is reunited with her former singing partner who thinks ""Smelly Cat"" has hit potential; Chandler dates a woman with a prosthetic leg."
The One Where Ross and Rachel Take a Break,13 Feb. 1997,8.4,4948,3,15,Ross seeks solace at a party after a bitter fight with Rachel and ends up in the arms of another woman; Phoebe's date needs an interpreter to communicate.
The One with the Morning After,20 Feb. 1997,9.0,6037,3,16,"Ross is guilt-ridden after sleeping with Chloe and desperately tries to stop Rachel from finding out and when she does, the rest of the gang listen to them argue and end up trapped in Monica's room for the rest of the night."
The One Without the Ski Trip,6 Mar. 1997,8.2,4647,3,17,"Monica, Chandler, Phoebe and Joey become stuck in the middle of Ross and Rachel's fight following their break-up."
The One with the Hypnosis Tape,13 Mar. 1997,8.3,4701,3,18,Monica goes out with a guy who turns out to be a software billionaire. Chandler's stop smoking hypnosis tape has an unexpected side effect. Phoebe's brother Frank makes a surprise announcement that he is getting married - to a woman twice his age.
The One with the Tiny T-Shirt,27 Mar. 1997,8.0,4532,3,19,"Rachel goes on her first date, after splitting from Ross, with Mark. Joey clashes with his co-star in his new play. Monica continues to date Pete, even though she is still not attracted to him."
The One with the Dollhouse,10 Apr. 1997,7.9,4496,3,20,"Monica's aunt dies and leaves her an antique dollhouse that she doesn't want Phoebe to play with; Rachel regrets setting up Chandler with her boss, Joanna."
The One with the Chick and the Duck,17 Apr. 1997,8.6,4842,3,21,"Joey buys a chick for him and Chandler, Pete offers Monica a job at his restaurant but she is undecided if she should accept it. Ross shows his continued feelings for Rachel when he gives up being on TV for her."
The One with the Screamer,24 Apr. 1997,8.1,4574,3,22,"Ross witnesses Rachel's date screaming at people. Meanwhile, Joey becomes upset when Kate is offered a job in Los Angeles; Phoebe refuses to hang up the phone when she is placed on hold by her phone company."
The One with Ross's Thing,1 May 1997,7.9,4498,3,23,Ross seeks medical help when he finds a mysterious skin condition on his backside. Phoebe struggles to choose between two guys; Monica can't decide what to do about Pete when she thinks he is going to propose.
The One with the Ultimate Fighting Champion,8 May 1997,8.0,4689,3,24,Monica struggles to support Pete in his goal to become the Ultimate Fighting Champion. Chandler is uneasy when his boss playfully slaps his butt. Rachel becomes jealous when Ross starts dating a woman that was introduced to him by Phoebe.
The One at the Beach,15 May 1997,8.7,5186,3,25,"While at the beach, Phoebe meets a family friend with links to her past; Ross discovers that Rachel still loves him and must decide between her and Bonnie."
The One with the Jellyfish,25 Sep. 1997,9.0,5886,4,1,"Ross chooses between Rachel and his bald-headed girlfriend Bonnie; Joey, Chandler, and Monica have a perilous encounter with a jellyfish at the beach."
The One with the Cat,2 Oct. 1997,7.9,4592,4,2,Phoebe becomes convinced that the spirit of her dead mother is inside a cat. Chandler and Joey are robbed. Monica goes on a date with a guy from her high school.
The One with the 'Cuffs,9 Oct. 1997,8.4,4678,4,3,Monica tries to avoid criticism when she caters a party for her mother. Chandler ends up half naked and handcuffed to a chair in Rachel's boss's office. Joey tries to get educated from a salesman trying to sell him a set of encyclopedias.
The One with the Ballroom Dancing,16 Oct. 1997,8.1,4511,4,4,Joey is forced to help Treeger learn how to dance after he threatens to have Monica and Rachel evicted. Phoebe develops a crush on one of her clients. Ross tries to help Chandler quit the gym.
The One with Joey's New Girlfriend,30 Oct. 1997,8.3,4568,4,5,Chandler develops feelings for Joey's new girlfriend. Ross and Rachel try to make each other jealous with their dates. Phoebe's cold gives her a sexy singing voice.
The One with the Dirty Girl,6 Nov. 1997,8.4,4676,4,6,Ross's new girlfriend is nearly perfect until he discovers her apartment is very dirty. Chandler buys a better birthday present for Kathy than Joey. Phoebe helps Monica cater an event. Rachel is obsessed at finishing a crossword puzzle by herself.
The One Where Chandler Crosses the Line,13 Nov. 1997,8.6,4725,4,7,Chandler is guilt-ridden after kissing Kathy. Ross starts playing the keyboard again and everyone except Phoebe thinks he's terrible. Joey dates someone else while still attached to Kathy.
The One with Chandler in a Box,20 Nov. 1997,9.0,5870,4,8,Chandler tries to earn Joey's forgiveness by lying in a wooden box for six hours. Monica accidentally gets ice in her eye and her doctor turns out to be Richard's son and it's discovered Rachel exchanges the gifts she received in the past.
The One Where They're Going to Party!,11 Dec. 1997,7.7,4410,4,9,Monica ends up having to choose between a head chef position or the catering business she started with Phoebe. Rachel is close to getting a promotion but tragedy strikes. Chandler and Ross are excited when an old friend is coming to town.
The One with the Girl from Poughkeepsie,18 Dec. 1997,7.9,4387,4,10,"In order for her kitchen staff to acknowledge her authority, Monica hires Joey so she can fire him in front of them. Chandler unsuccessfully tries to set Rachel up with a co-worker. Ross can't choose between two girls."
The One with Phoebe's Uterus,8 Jan. 1998,8.4,4729,4,11,Newlyweds Frank and Alice ask Phoebe to be their surrogate. Joey gets a job as a tour guide at Ross's museum. Chandler asks Monica and Rachel for advice on how to sexually satisfy Kathy.
The One with the Embryos,15 Jan. 1998,9.4,8631,4,12,"Phoebe's uterus is examined for implantation of the embryos. Meanwhile, a seemingly harmless game between Chandler and Joey against Monica and Rachel escalates into a full blown contest where the stakes are raised higher and higher."
The One with Rachel's Crush,29 Jan. 1998,8.1,4363,4,13,"After seeing Kathy's play, Chandler becomes convinced she is cheating on him with her co-star. Rachel develops a crush on one of her customers. Monica becomes jealous when she realizes she is no longer the 'hostess'."
The One with Joey's Dirty Day,5 Feb. 1998,8.1,4403,4,14,"Joey arrives on the set of his latest movie unwashed, after a three-day fishing trip with his dad. Rachel sets up Ross with the niece of her boss. Chandler goes through three phrases to help recover from Kathy cheating on him."
